26.5,6.74,3.14,5.07,0.48,1.16,0.35,0.013
26.5,6.6,4.08,5.77,0.4,1.6,0.5,0.0071
28.0,6.71,3.51,2.1,0.72,1.33,0.5,0.015
28.5,6.7,3.03,7.39,0.8,1.38,0.3,0.019
27.5,6.67,4.71,9.47,0.64,1.4,0.35,0.018
24.5,7.05,2.8,5.04,0.96,1.33,0.85,0.012
20.0,6.68,3.62,6.28,0.8,1.22,0.85,0.012
12.7,7.06,4.78,7.95,0.8,1.34,0.65,0.0092
15.2,6.82,6.34,8.12,0.64,2.09,0.7,0.011
16.4,6.91,4.11,7.18,0.8,1.83,0.65,0.01
16.8,7.03,4.45,7.89,0.8,2.26,0.75,0.0094
22.4,6.92,3.78,6.61,0.96,1.8,0.75,0.016
23.5,6.9,3.08,6.88,0.64,1.31,0.65,0.019
27.8,6.65,4.95,8.55,0.64,2.34,0.7,0.017
28.8,7.0,4.9,8.97,0.56,3.05,0.8,0.024
26.1,6.6,3.73,7.74,1.36,1.21,0.75,0.027
26.3,6.68,2.64,5.93,0.64,0.73,0.7,0.017
24.0,6.96,2.65,6.08,1.6,0.81,0.7,0.016
20.3,6.94,3.56,7.07,0.56,1.17,0.7,0.015
18.1,6.84,10.66,14.82,0.72,1.52,0.7,0.011
12.4,7.06,22.54,33.67,0.56,1.55,0.7,0.0093
14.4,6.9,3.86,6.93,1.6,1.6,0.75,0.0082
19.6,6.66,3.52,6.95,0.8,1.36,0.8,0.01
20.6,6.86,3.93,6.52,0.8,1.27,0.7,0.015
23.7,6.77,2.38,5.46,0.64,0.7,0.8,0.018
26.4,6.88,2.47,6.72,0.72,0.8,0.8,0.018
26.5,6.91,2.81,6.67,0.88,0.7,0.75,0.018
26.8,6.63,2.29,5.64,0.96,0.59,0.8,0.0177
24.1,6.73,2.04,5.95,1.2,0.69,0.8,0.0203
22.3,6.77,2.15,5.58,0.64,0.56,0.8,0.0152
17.8,7.03,1.99,5.35,1.2,0.66,0.8,0.0132
15.3,6.99,2.77,5.98,2.08,0.85,0.7,0.0072
13.8,7.02,2.68,5.94,1.68,0.98,0.6,0.0057
14.5,6.86,2.9,6.04,0.85,1.22,0.65,0.0064
